MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"13,127,105.00","13,127,105.00","26,254,210.00",50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"1,961,271.00","1,961,271.00","3,922,542.00",50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,YEI,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"11,742,220.00","5,871,110.00","17,613,330.00",66.67%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"3,300,000.00","3,300,000.00","6,600,000.00",50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"5,500,000.00","5,500,000.00","11,000,000.00",50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"1,760,000.00","1,760,000.00","3,520,000.00",50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"440,000.00","440,000.00","880,000.00",50%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"162,325,134.00","243,487,700.00","405,812,834.00",40%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"67,114,353.00","134,910,677.00","202,025,030.00",33.22%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"81,327,223.00","121,990,835.00","203,318,058.00",40%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"35,067,997.00","74,519,494.00","109,587,491.00",32%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"6,462,429.00","5,287,442.00","11,749,871.00",55%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"19,387,289.00","15,862,327.00","35,249,616.00",55%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"6,462,429.00","5,287,442.00","11,749,871.00",55%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,6,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"15,756,119.00","15,756,119.00","31,512,238.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"4,200,000.00","4,200,000.00","8,400,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,"3,595,567.00","1,953,000.00","5,548,567.00",64.8%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"310,721.00","225,000.00","535,721.00",58%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"6,944,789.00","5,175,000.00","12,119,789.00",57.3%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,"4,490,556.00","3,500,000.00","7,990,556.00",56.2%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"121,351,633.00","90,000,000.00","211,351,633.00",57.42%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"700,000.00","700,000.00","1,400,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"30,833,607.00","17,496,644.00","48,330,251.00",63.8%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"3,500,000.00","3,500,000.00","7,000,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,"500,000.00","500,000.00","1,000,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M17,Risk management,FA_3B,Risk management,"3,142,949.00","2,000,000.00","5,142,949.00",61.11%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"4,280,437.00","2,325,000.00","6,605,437.00",64.8%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"207,148.00","150,000.00","357,148.00",58%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"2,895,958.00","2,000,000.00","4,895,958.00",59.15%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"900,000.00","900,000.00","1,800,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"3,192,500.00","3,192,500.00","6,385,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"782,231.00","782,231.00","1,564,462.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"28,213,402.50","23,497,165.00","51,710,567.50",54.56%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"2,211,988.00","1,690,172.50","3,902,160.50",56.69%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"900,000.00","900,000.00","1,800,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"3,192,500.00","3,192,500.00","6,385,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"782,231.00","782,231.00","1,564,462.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"28,213,402.50","23,497,165.00","51,710,567.50",54.56%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"2,211,988.00","1,690,172.50","3,902,160.50",56.69%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5B,Energy efficiency,"172,623.00","125,000.00","297,623.00",58%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,"751,350.00","465,826.00","1,217,176.00",61.73%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,"27,075,943.00","20,000,000.00","47,075,943.00",57.52%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5D,Reducing GHG and NH3,"52,560,487.00","38,772,226.00","91,332,713.00",57.55%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,"2,370,000.00","2,370,000.00","4,740,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,"13,135,731.00","6,831,259.00","19,966,990.00",65.79%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,"1,750,000.00","1,750,000.00","3,500,000.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"9,206,194.00","9,206,194.00","18,412,388.00",50%
BE,Belgium,2014BE06RDRP001,3.1,Flanders - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"19,189,945.00","14,389,595.00","33,579,540.00",57.15%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"5,928,300.00","8,892,450.00","14,820,750.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"1,230,000.00","1,845,000.00","3,075,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,"330,000.00","495,000.00","825,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"52,400,000.00","78,600,000.00","131,000,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"16,000,000.00","24,000,000.00","40,000,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"9,920,000.00","14,880,000.00","24,800,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"1,120,000.00","1,680,000.00","2,800,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"1,600,000.00","2,400,000.00","4,000,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"29,500,000.00","44,250,000.00","73,750,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"20,000,000.00","30,000,000.00","50,000,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"7,825,004.00","11,737,506.00","19,562,510.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"11,600,000.00","17,400,000.00","29,000,000.00",40%
BE,Belgium,2014BE06RDRP002,2.1,Wallonia - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"1,600,000.00","2,400,000.00","4,000,000.00",40%
